race_id,url,table_index,table_type,row_count,assigned_parser,detector_score
472258,https://ca.milesplit.com/meets/253077-truckee-invite-2016/results/472258/formatted/,1,individual,13,katie_fallback,
472258,https://ca.milesplit.com/meets/253077-truckee-invite-2016/results/472258/formatted/,2,team,1,katie_fallback,
489332,https://ca.milesplit.com/meets/257223-ambassador-league-finals-2016/results/489332/formatted/,1,individual,23,katie_fallback,
489332,https://ca.milesplit.com/meets/257223-ambassador-league-finals-2016/results/489332/formatted/,2,team,3,katie_fallback,
480667,https://ca.milesplit.com/meets/255109-citrus-belt-league-cluster-2-2016/results/480667/formatted/,1,individual,47,katie_fallback,
480667,https://ca.milesplit.com/meets/255109-citrus-belt-league-cluster-2-2016/results/480667/formatted/,2,team,7,katie_fallback,
490403,https://www.milesplit.com/meets/242981-foot-locker-west-regional-2016/results/490403/formatted/,1,individual,198,katie_fallback,
490403,https://www.milesplit.com/meets/242981-foot-locker-west-regional-2016/results/490403/formatted/,2,team,11,katie_fallback,
484089,https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484089/formatted/,1,individual,184,katie_fallback,
484089,https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484089/formatted/,2,team,22,katie_fallback,
488189,https://ca.milesplit.com/meets/256868-small-schools-championships-2016/results/488189/formatted/,1,individual,32,katie_fallback,
488189,https://ca.milesplit.com/meets/256868-small-schools-championships-2016/results/488189/formatted/,2,team,3,katie_fallback,
488189,https://ca.milesplit.com/meets/256868-small-schools-championships-2016/results/488189/formatted/,3,individual,35,katie_fallback,
488189,https://ca.milesplit.com/meets/256868-small-schools-championships-2016/results/488189/formatted/,4,team,3,katie_fallback,
465932,https://ca.milesplit.com/meets/248187-laguna-hills-invitational-2016/results/465932/formatted/,,cole,0,cole,0.7999999999999999
489166,https://ca.milesplit.com/meets/257056-eastern-athletic-league-finals-2016/results/489166/formatted/,1,individual,34,katie_fallback,
489166,https://ca.milesplit.com/meets/257056-eastern-athletic-league-finals-2016/results/489166/formatted/,2,team,4,katie_fallback,
